Name,Address,City,State,Undergraduate Enrollment,Road Distance (mi),Travel Time One Way (hr)
Suffolk University,8 Ashburton Place,Boston,MA,6472,93.827021,1.8
University of Massachusetts-Central Office,225 Franklin Stree," 12th Floor""",Boston,0,93.827021,1.766666667
Ridley-Lowell Business & Technical Institute-New London,470 Bank Street,New London,CT,494,97.555247,1.733333333
Granite State College,25 Hall Street,Concord,NH,2713,96.312505,1.966666667
MGH Institute of Health Professions,36 1st Avenue,Boston,MA,794,95.691134,1.85
Eli Whitney Technical High School,71 Jones Rd,Hamden,CT,56,86.99194,1.5
New England College of Business and Finance,10 High St Ste 204,Boston,MA,1049,93.827021,1.75
University of New Hampshire-School of Law,2 White St,Concord,NH,0,95.069763,1.983333333
North Bennet Street School,150 North Street,Boston,MA,176,95.069763,1.783333333
Marinello Schools of Beauty-Niantic,63 Pennsylvania Avenue,Niantic,CT,518,100.662102,1.716666667
New England Tractor Trailer Training School of Massachusetts,1600 Osgood Street,North Andover,MA,509,92.584279,1.733333333
Albertus Magnus College,700 Prospect St,New Haven,CT,1774,87.613311,1.533333333
Laboure College,303 Adams Street,Milton,MA,948,100.662102,1.916666667
Belanger School of Nursing,650 McClellan St,Schenectady,NY,145,116.196377,1.916666667
Unification Theological Seminary,30 Seminary Drive,Barrytown,NY,0,119.924603,2.133333333
Colby-Sawyer College,541 Main St,New London,NH,1469,105.63307,2.083333333
European Academy of Cosmetology and Hairdressing,1575 Boston Post Rd Bldg C,Guilford,CT,32,102.526215,1.683333333
Southern Connecticut State University,501 Crescent Street,New Haven,CT,9217,88.234682,1.566666667
Everest Institute-Chelsea,70 Everett Ave - 4th Floor,Chelsea,MA,676,98.176618,1.866666667
Connecticut Center for Massage Therapy-Groton,1154 Poquonnock Rd,Groton,CT,229,100.662102,1.766666667
University of Massachusetts-Boston,100 Morrissey Boulevard,Boston,MA,15741,96.933876,1.85
NHTI-Concord's Community College,31 College Drive,Concord,NH,5814,98.797989,2.033333333
Mitchell College,437 Pequot Avenue,New London,CT,956,98.797989,1.816666667
Union Graduate College,80 Nott Terrace,Schenectady,NY,0,116.817748,1.966666667
Union College,807 Union St,Schenectady,NY,2295,118.06049,1.966666667
Yale University,Woodbridge Hall,New Haven,CT,6380,90.098795,1.533333333
University of Phoenix-Boston Campus,19 Granite Street,Braintree,MA,310,101.283473,1.866666667
Gateway Community College,20 Church Street,New Haven,CT,11176,90.098795,1.516666667
Schenectady County Community College,78 Washington Avenue,Schenectady,NY,8880,116.817748,1.916666667
Stonehill College,320 Washington Street,Easton,MA,2606,105.011699,1.983333333
Yale-New Haven Hospital Dietetic Internship,20 York St EPB 806,New Haven,CT,0,90.720166,1.516666667
University of Connecticut-Avery Point,1084 Shennecossett Rd,Groton,CT,891,102.526215,1.85
