Name,Address,City,State,Undergraduate Enrollment,Road Distance (mi),Travel Time One Way (hr)
Upstate Medical University,750 E Adams St,Syracuse,NY,329,243.577432,3.716666667
Bryant & Stratton College-Syracuse,953 James St,Syracuse,NY,1191,240.470577,3.7
Onondaga School of Therapeutic Massage-Syracuse,719 E Genesee St,Syracuse,NY,97,242.956061,3.716666667
Fortis Institute-Forty Fort,166 Slocum Street,Forty Fort,PA,375,260.97582,4.216666667
Syracuse City Schools Practical Nursing Program,573 East Genesee Street,Syracuse,NY,35,242.956061,3.7
St Francis Medical Center-School of Radiologic Technology,601 Hamilton Ave,Trenton,NJ,16,229.285899,3.916666667
Saint Francis Medical Center School of Nursing,601 Hamilton Ave,Trenton,NJ,63,229.285899,3.916666667
St Joseph's College of Nursing at St Joseph's Hospital Health Center,206 Prospect Ave,Syracuse,NY,297,244.820174,3.716666667
Simmons Institute of Funeral Service Inc,1828 South Ave,Syracuse,NY,61,246.684287,3.783333333
Jolie Hair and Beauty Academy-Wilkes-Barre,125 N Wilkes Barre Blvd,Wilkes Barre,PA,274,259.733078,4.183333333
King's College,133 N River St,Wilkes-Barre,PA,2394,259.733078,4.2
Thomas Edison State College,101 W State St,Trenton,NJ,19596,231.771383,3.933333333
Continental School of Beauty Culture-Mattydale,2803 Brewerton Road,Mattydale,NY,454,242.33469,3.683333333
Wilkes University,84 West South Street,Wilkes-Barre,PA,2587,260.354449,4.233333333
Empire Beauty School-Bordentown,610 Rt 206,Bordentown,NJ,201,227.421786,3.866666667
Jolie Hair and Beauty Academy-Hazleton,1057A North Church Street,Hazleton,PA,140,261.597191,4.266666667
Onondaga Community College,4585 West Seneca Turnpike,Syracuse,NY,25865,248.5484,3.85
ITT Technical Institute-Liverpool,235 Greenfield Parkway,Liverpool,NY,562,242.956061,3.716666667
Moravian College,1200 Main St,Bethlehem,PA,1742,256.004852,4.233333333
Misericordia University,301 Lake St,Dallas,PA,2753,267.18953,4.35
International Institute for Restorative Practices,544 Main Street,Bethlehem,PA,0,257.247594,4.25
Tompkins Cortland Community College,170 North St,Dryden,NY,9373,259.111707,4.266666667
Triangle Tech Inc-Bethlehem,3184 Airport Road,Bethlehem,PA,233,261.597191,4.25
Lehigh University,27 Memorial Drive West,Bethlehem,PA,4965,257.247594,4.266666667
Capilo School of Hair Design,43 Bridge Street,Augusta,ME,265,230.528641,3.783333333
University of Maine at Augusta,46 University Dr,Augusta,ME,6525,231.771383,3.766666667
St Lukes Hospital School of Nursing,801 Ostrum Street,Bethlehem,PA,207,257.247594,4.25
Kaplan University-Augusta Campus,14 Marketplace Drive,Augusta,ME,311,231.150012,3.733333333
Onondaga Cortland Madison BOCES,4500 Crown Rd,Liverpool,NY,1108,244.198803,3.7
National Tractor Trailer School Inc-Liverpool,4650 Buckley Rd,Liverpool,NY,495,244.198803,3.733333333
The Vision Academy,1921 Union Blvd,Allentown,PA,108,262.839933,4.3
International Academy of Medical Reflexology,2200 North Irving Street,Allentown,PA,15,261.597191,4.266666667
Welder Training and Testing Institute,729 E. Highland Street,Allentown,PA,164,262.218562,4.283333333
Levittown Beauty Academy,Vermillion Square - 8919 New Falls Road,Levittown,PA,115,235.499609,4.016666667
Pennsylvania State University-Penn State Wilkes-Barre,Old Route 115,Lehman,PA,700,268.432272,4.4
DeSales University,2755 Station Avenue,Center Valley,PA,3001,262.839933,4.283333333
Bucks County Community College,275 Swamp Rd,Newtown,PA,16205,237.363722,4.216666667
Pennsylvania State University-Penn State Lehigh Valley,2809 Saucon Valley Road,Center Valley,PA,1039,260.97582,4.233333333
Empire Beauty  School-Lehigh Valley,1634 MacArthur Rd,Whitehall,PA,220,263.461304,4.283333333
Pennsylvania School of Business,265 Lehigh St.,Allentown,PA,530,265.325417,4.316666667
Bryant & Stratton College-Syracuse North,8687 Carling Rd,Liverpool,NY,752,248.5484,3.783333333
Luzerne County Community College,1333 South Prospect Street,Nanticoke,PA,9351,267.810901,4.383333333
ITT Technical Institute-Levittown,311 Veteran's Highway,Levittown,PA,791,239.227835,4.05
Cairn University-Langhorne,200 Manor Ave,Langhorne,PA,1046,240.470577,4.1
University of Maine at Farmington,224 Main St.,Farmington,ME,2265,247.927029,4.35
Muhlenberg College,2400 Chew Street,Allentown,PA,2732,267.18953,4.366666667
Cedar Crest College,100 College Drive,Allentown,PA,1656,265.946788,4.316666667
Delaware Valley College,700 E Butler Ave,Doylestown,PA,2179,254.76211,4.366666667
Lehigh Carbon Community College,4525 Education Park Dr,Schnecksville,PA,10475,273.40324,4.483333333
SUNY College at Potsdam,44 Pierrepont Ave,Potsdam,NY,4191,295.151225,5.083333333
Pennco Tech-Bristol,3815 Otter St,Bristol,PA,833,239.849206,4.05
Clarkson University,8 Clarkson Ave,Potsdam,NY,3150,295.151225,5.133333333
Lincoln Technical Institute-Allentown,5151 Tilghman St,Allentown,PA,1052,267.810901,4.333333333
Buck's County School of Beauty Culture Inc,1761 Bustleton Pike,Feasterville,PA,107,247.305658,4.2
Burlington County College,601 Pemberton-Browns Mills Road,Pemberton,NJ,17156,242.956061,4.15
Strayer University-Pennsylvania,3600 Horizon Blvd Ste 100,Trevose,PA,3216,244.198803,4.083333333
Sanford-Brown Institute-Trevose,3600 Horizon Blvd," Suite GL1""",Trevose,828,244.198803,4.083333333
